Pogonias cromis
Myripristis jacobus
Acanthurus coeruleus
Labroides dimidiatus
Haemulon sciurus
Caranx hippos
Trachinotus carolinus
Pomacanthus paru
Epinephelus lanceolatus
Gnathanodon speciosus
Epinephelus itajara
Lutjanus griseus
Holacanthus passer
Platax teira
Anisotremus virginicus
Acanthurus leucosternon
Symphorichthys spilurus
Lutjanus apodus
Abudefduf saxatilis
Elacatinus evelynae
Haemulon chrysargyreum
Bodianus rufus
Megalops atlanticus
Zebrasoma flavescens
Ocyurus chrysurus
Chelonia mydas
Carcharhinus melanopterus
Rhynchobatus australiae
Rhina ancylostoma
Rhinoptera bonasus
Himantura undulata
Mobula hypostoma
Pristis zijsron
Mobula birostris
Himantura jenkinsii
Urogymnus asperrimus
Mobula alfredi
Dasyatis centroura
Taeniurops meyeni
Carcharhinus plumbeus
Hypanus americanus
Aetobatus narinari
Orectolobus maculatus
Eucrossorhinus dasypogon
Rhincodon typus
Stegostoma tigrinum
