Shark,Direction_of_Swim,Depth,Raw_w_another_shark,Raw_Position_other_shark,Raw_Depth_other_shark,Second_other_Shark,Second_Shark_Position,Second_Shark_Depth,Third_Other_Shark,Third_Shark_Position,Third_Shark_Depth
TR,CW,B,TA,B>A,,,,,,,
TR,CW,S,TA,,,,,,,,
AL,CW,S,TA,X,S,,,,,,
AL,CW,B,TR,A,E,,,,,,
TA,CW,S,TR,A,E,,,,,,
AL,CW,S,YU,A,E,,,,,,
TR,CW,S,AL,X,D,,,,,,
AL,CC,S,TA,B,L,TR,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TA,X,H,,,,,,
AL,CW,S,TR,X,E,,,,,,
TR,CW,S,AL,X,,,,,,,
TA,CW,S,TR,X,B>E,,,,,,
AL,CW,S,TR,X,,AL,,,,,
AL,CW,S,TR,E,S,,,,,,
YU,CW,S,TR,B,E,,,,,,
TR,CC,S,YU,H,E,,,,,,
TA,CC,S,YU,B,E,,,,,,
YU,CW,S,TA,H,E,,,,,,
YU,CW,D,AL,E,H,,,,,,
YU,CW,S,AL,A,S,,,,,,
TA,CC,S,YU,A,S,,,,,,
AL,CC,S,YU,B,E>L,,,,,,
YU,CW,D,AL,A,H,,,,,,
AL,CC,S,TA,A,H,,,,,,
TA,CW,B,AL,A,H,,,,,,
TR,CW,D,YU,B,H,,,,,,
TA,CC,B,YU,A,H,,,,,,
TA,CC,D,AL,A,H,,,,,,
AL,CW,S,TA,E,E,,,,,,
AL,CW,S,TR,B,D,,,,,,
AL,CC,S,TR,B,D,,,,,,
AL,CW,S,TR,E,D,,,,,,
AL,CC,S,TR,L,D,,,,,,
TR,CW,S,YU,E,D,,,,,,
AL,CW,S,TA,B,D,,,,,,
AL,CW,S,TR,B,D,,,,,,
TA,CW,B,AL,B,E,,,,,,
AL,CW,S,TR,E,E,,,,,,
AL,CW,S,YU,E,E,,,,,,
AL,CW,S,TR,B,L,,,,,,
TA,CW,S,YU,X,L,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,YU,L,B,,,,,,
TA,CW,B,TR,X,B,,,,,,
TR,CC,B,TR,L,D,,,,,,
YU,CW,S,TA,H,S,,,,,,
TR,CW,S,TA,E,B,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CW,S,YU,YESAY,E,,,,,,
YU,CW,B,TA,L,E,,,,,,
TR,CW,B,YU,L,D,,,,,,
TR,CW,S,YU,E,E,,,,,,
AL,CW,S,TA,L,D,,,,,,
TA,CW,S,YU,L,D,TR,,,,,
AL,CW,S,TR,A,D,,,,,,
AL,CW,S,TR,B,E,,,,,,
TA,CW,B,TR,A,E,,,,,,
TA,CW,D,YU,X,D,,,,,,
AL,CW,S,TR,E,E,,,,,,
TR,CC,S,YU,X,S,,,,,,
AL,CW,S,TA,B,S,,,,,,
AL,CW,S,TA,E,E,,,,,,
AL,CW,S,YU,YESAY,S,TA,,,,,
AL,CW,S,YU,H,S,,,,,,
TR,CW,S,YU,H,S,,,,,,
AL,CW,S,YU,YESAY,D,,,,,,
TR,CW,S,AL,YESAY,E,,,,,,
TR,CW,S,YU,H,S,,,,,,
AL,CW,S,TR,L,VD,,,,,,
AL,CW,S,YU,H,S,,,,,,
TR,CC,B,AL,H,S,,,,,,
TR,CC,B,YU,B,H,,,,,,
AL,CW,B,TR,L,D,,,,,,
TA,CW,S,TR,X,D,,,,,,
AL,CW,S,TA,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,B,YU,X,H,,,,,,
AL,CW,S,TR,X,L,,,,,,
YU,CW,S,AL,CW,L,,,,,,
AL,CW,B,TA,X,S,,,,,,
TR,CC,S,TA,B,L,,,,,,
TA,CC,S,AL,B,E,,,,,,
AL,CC,B,TR,B,L,,,,,,
AL,CC,B,YU,A,E,,,,,,
TA,CC,S,AL,B,E,,,,,,
AL,CC,S,TR,A,E,,,,,,
TR,CW,D,YU,X,H,,,,,,
TR,CC,B,AL,A,H,,,,,,
AL,CW,B,TR,B,D,,,,,,
TR,CC,D,AL,A,H,,,,,,
YU,CW,S,AL,A,E,,,,,,
AL,CC,S,YU,A,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
TA,CC,S,YU,B>A,L,,,,,,
TA,CC,D,TR,B>A,H>E,,,,,,
TA,CW,D,TR,X,H,,,,,,
TR,CC,D,TA,,L,,,,,,
AL,CC,S,TA,B,E,,,,,,
TR,CC,S,AL,B,L,,,,,,
AL,CC,S,TR,CC,,,,,,,
TR,CC,S,TA,B,L>E,,,,,,
AL,CC,S,YU,N>A,E,,,,,,
YU,CW,S,AL,N>B,E,,,,,,
TA,CC,D,YU,A,E,,,,,,
YU,CW,D,TA,B,E,,,,,,
AL,CC,B,TR,A,H,,,,,,
AL,CC,B,TR,A,L,,,,,,
YU,CW,D,AL,N,H,,,,,,
AL,CC,S,YU,N,L,,,,,,
YU,CW,D,AL,B,H,,,,,,
AL,CC,S,YU,A,L,,,,,,
YU,CW,D,AL,A,H,,,,,,
AL,CC,S,YU,B,L,,,,,,
AL,CC,S,YU,A,E,TR,A,E,,,
YU,CW,D,TR,N>B,H>E,,,,,,
TA,CC,D,YU,B>N,H,,,,,,
YU,CW,S,TA,A>N,L,,,,,,
TA,CC,D,YU,B,H,,,,,,
YU,CW,S,TA,A,L,,,,,,
TR,CC,B,AL,B,H,,,,,,
TA,CC,B,YU,A,E,,,,,,
YU,CW,B,TA,B,E,,,,,,
AL,CC,S,YU,N,L,,,,,,
YU,CW,D,AL,N,H,,,,,,
TA,CC,B,TR,B,L,,,,,,
TR,CC,D,TA,A,H,,,,,,
TR,CW,D,YU,B>N>A,L,,,,,,
AL,CC,S,YU,B>N,L,,,,,,
YU,CW,D,AL,A>N,H,,,,,,
AL,CC,B,YU,A,L,,,,,,
YU,CW,D,AL,B,H,,,,,,
AL,CC,S,YU,N>A,L,,,,,,
YU,CW,D,AL,N>B,H,,,,,,
TR,CC,S,YU,B>N,L,,,,,,
YU,CW,D,TR,A>N,H,,,,,,
YU,CW,S,AL,B>A,,,,,,,
AL,CC,S,YU,N>A,,,,,,,
TA,CC,S,YU,A,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
YU,CW,D,AL,B,E,,,,,,
AL,CC,S,YU,A,E,,,,,,
YU,CW,S,TA,A>B,L,,,,,,
TA,CC,B,YU,A,H,,,,,,
TR,CC,D,YU,B>A,H,,,,,,
YU,CW,S,TR,A>B,L,,,,,,
AL,CC,S,YU,A,E,,,,,,
YU,CW,S,AL,B,E,,,,,,
TA,CC,D,TR,B,H,,,,,,
TR,CC,B,TA,A,L,,,,,,
AL,CC,S,YU,N>A,E,,,,,,
YU,CW,S,AL,N>B,E,,,,,,
TR,CC,D,TA,B,,,,,,,
YU,CW,B,AL,B,,,,,,,
TA,CC,B,YU,N,,,,,,,
AL,CC,B,YU,N,,,,,,,
TA,CC,B,YU,N,,,,,,,
AL,CC,S,YU,B,E,,,,,,
TR,CC,S,TA,CC,E,,,,,,
TA,CC,B,TR,B,H,,,,,,
TA,CC,B,YU,A,R,,,,,,
TR,CC,B,AL,A,H,,,,,,
TR,CW,D,YU,X,H,,,,,,
TA,CC,S,YU,A,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
YU,CW,B,TR,N,H,,,,,,
YU,CW,S,AL,A,E,,,,,,
TR,CC,S,TA,B,E,,,,,,
TA,CC,B,YU,B,H,AL,B,H,,,
AL,CW,B,TA,X,L,,,,,,
TR,CC,S,AL,A,E,,,,,,
AL,CC,S,TR,B,E,,,,,,
AL,CW,S,YU,X,,,,,,,
AL,CW,S,YU,X,L,,,,,,
TR,CW,D,AL,B,E,,,,,,
TR,CW,S,YU,X,L,,,,,,
YU,CW,S,AL,B,E,,,,,,
AL,CC,S,YU,A,E,,,,,,
TA,CC,D,YU,B>A,H,,,,,,
YU,CW,S,TA,A>B,L,,,,,,
TA,CW,S,TR,B,,,,,,,
TA,CC,S,TR,A,E,,,,,,
TR,CC,S,TA,B,E,,,,,,
TA,CC,S,YU,A,E,TA,A,E,,,
AL,CC,S,YU,N,E,TA,B,E,,,
YU,CW,S,TR,N,E,,,,,,
YU,CW,S,TA,N,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
YU,CW,S,TA,B,,,,,,,
TR,CC,S,TA,B,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
TA,CC,S,TR,B,E,,,,,,
AL,CC,S,TR,B,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
TA,CC,S,YU,A,E,,,,,,
TR,CC,D,TA,A,E,,,,,,
TA,CC,D,TR,B,E,,,,,,
TA,CC,S,AL,A,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
AL,CC,D,YU,N,H,,,,,,
YU,CW,S,AL,N,L,,,,,,
TA,CW,B,TR,X,E,,,,,,
AL,CC,S,YU,B>N,E>L,,,,,,
YU,CW,S,AL,A>N,E>H,,,,,,
TA,CC,D,AL,B>A,H,,,,,,
AL,CC,S,TA,A>B,L,,,,,,
TA,CC,D,YU,B>A,H,AL,B,H,,,
AL,CC,S,YU,A,L,TA,A,L,,,
YU,CW,D,TA,A>B,L,AL,B,H,,,
TA,CC,D,AL,B>A,H,,,,,,
AL,CC,S,TA,A>B,L,,,,,,
TA,N1,S,AL,,,,,,,,
TA,CC,S,YU,N,E,,,,,,
AL,CC,S,TA,N,L,,,,,,
TA,CC,B,YU,A,L,,,,,,
TA,CC,S,YU,B>A,L>H,,,,,,
TR,CC,D,TA,B,H,,,,,,
TR,CC,S,YU,B>A,L,,,,,,
AL,CW,B,TA,N,E,,,,,,
AL,CC,S,YU,N,L,,,,,,
YU,CW,D,AL,N,H,,,,,,
YU,CW,D,AL,B,E,,,,,,
TA,CC,D,TR,B,H,,,,,,
AL,CW,B,TR,X,H,,,,,,
TA,CC,D,TR,B,H,,,,,,
TR,CC,S,YU,B,H,,,,,,
TR,CC,B,AL,B,E,,,,,,
TR,CC,B,TA,B,L,,,,,,
TR,CW,S,YU,B,L,TA,A,L,,,
TR,CC,D,YU,A,E,,,,,,
AL,CC,B,TA,B,E,,,,,,
AL,CC,B,TR,B,E,,,,,,
TA,CC,S,YU,A,E,,,,,,
AL,CC,S,TR,,E,,,,,,
YU,CW,S,TA,A,E,,,,,,
YU,CW,S,TR,X,L,,,,,,
AL,CC,D,YU,A,H,,,,,,
YU,CW,S,AL,B,E,,,,,,
AL,CC,B,TR,B,E,,,,,,
AL,CW,S,TA,X,E,,,,,,
AL,CW,S,TR,N,L,,,,,,
TR,CC,B,AL,CC,E,,,,,,
TR,CC,S,AL,A,,,,,,,
AL,CW,B,YU,X,E,,,,,,
AL,CW,B,TR,X,H,,,,,,
TA,CW,B,YU,N,E,,,,,,
AL,CW,B,TR,X,L,,,,,,
AL,CW,B,TR,X,E,,,,,,
TR,CW,B,AL,X,E,,,,,,
TR,CW,D,AL,X,H,,,,,,
TA,CW,D,TR,X,E,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CC,S,YU,B,L,,,,,,
TA,CC,D,YU,A,E,,,,,,
AL,CC,S,YU,A,E,,,,,,
YU,CW,D,TA,B,L,,,,,,
YU,CW,S,AL,B,L,,,,,,
TA,CC,D,TR,B,H,,,,,,
TA,CW,S,TR,X,L,,,,,,
AL,CC,S,YU,B,E,,,,,,
TA,CC,D,YU,B,H,,,,,,
AL,CW,S,YU,X,L,,,,,,
AL,CC,S,YU,A,E,,,,,,
TR,CC,D,YU,N>A,H,,,,,,
TA,CC,D,TR,B,H,,,,,,
AL,CW,B,TA,B,E,,,,,,
YU,CW,D,TR,A,H,,,,,,
TA,CW,B,TR,N,L,,,,,,
AL,CW,B,TR,X,,TA,B,,,,
TR,CW,B,TA,X,,,,,,,
AL,CW,B,TA,B,,,,,,,
TR,CW,B,TA,B,,AL,B,,,,
TA,CW,B,AL,B,,,,,,,
YU,CW,B,AL,B,,,,,,,
AL,CW,S,YU,X,,,,,,,
AL,CW,S,TA,A,,,,,,,
TA,CW,B,AL,B,,,CC,,,,
AL,CW,S,TA,B,,,,,,,
YU,CW,B,TA,X,,,,,,,
TR,CW,B,AL,B,,,,,,,
AL,CW,B,TR,B,,,,,,,
TR,CW,B,YU,X,,,,,,,
AL,CW,B,TR,X,,,,,,,
AL,CC,B,YU,B,,,,,,,
AL,CC,B,TA,B,,,,,,,
TA,CC,B,YU,B,,,,,,,
TA,CC,D,AL,B,,YU,A,,Nandi,B,
YU,CW,B,TR,B,,,,,,,
TA,CW,S,AL,B,H,,,,,,
TR,CW,B,TA,B,H,,,,,,
AL,CW,S,TA,B,E,,,,,,
TR,CC,D,YU,A,H,,,,,,
AL,CC,B,TA,X,D,TR,CW,D,,,
AL,CC,B,YU,A,L,,,,,,
AL,CC,B,YU,A,E,,,,,,
YU,CW,B,Nandi,A,,,,,,,
YU,CW,B,TR,CW,L,,,,,,
TR,CW,D,AL,B,E,,,,,,
TR,CW,D,TA,X,H,,,,,,
YU,CW,B,AL,B,E,,,,,,
YU,CW,B,TR,CW,L,,,,,,
TA,CC,D,YU,A,H,,,,,,
TA,CW,B,AL,A>N,E>H,,,,,,
AL,CC,B,YU,A,E,,,,,,
TR,CC,D,AL,B,E,,,,,,
AL,CW,S,TA,X,E,,,,,,
TA,CW,B,AL,B,H,,,,,,
AL,CW,S,TA,A,L,,,,,,
AL,CW,S,TR,X,E,,,,,,
YU,CW,S,TA,A,E,,,,,,
YU,CW,S,TR,N,E,,,,,,
AL,CW,S,TA,N,E,,,,,,
TR,CC,B,AL,B,,,,,,,
AL,CW,S,YU,X,L,,,,,,
TA,CW,S,YU,,L,,,,,,
YU,CW,D,TA,X,H,,,,,,
TA,CW,S,AL,N,E,,,,,,
YU,CW,D,TR,B,H,,,,,,
YU,CW,B,TR,A,L,,,,,,
TR,CC,B,TA,X,L,,,,,,
AL,CW,S,TA,N,E,,,,,,
YU,CW,D,AL,B,H,,,,,,
AL,CC,S,YU,A,L,,,,,,
YU,CW,B,AL,B,H,,,,,,
YU,CW,S,TR,A,L,,,,,,
TR,CC,B,YU,A,E>H,,,,,,
TR,CC,B,YU,A,E,,,,,,
YU,CW,D,AL,A,H,TA,B,E,,,
TR,CC,D,AL,N,H,,,,,,
TR,CC,D,AL,A,H,,,,,,
TA,CC,S,YU,B,E,,,,,,
TA,CC,B,AL,B,L,,,,,,
YU,CW,B,TR,N,E,,,,,,
TR,CC,B,YU,N,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
AL,CC,S,TA,N,L,,,,,,
TA,CC,D,TR,CC,E,,,,,,
TA,CC,B,YU,A,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
YU,CW,B,TR,A,E,,,,,,
AL,CW,S,YU,X,L,,,,,,
TA,CW,S,TR,X,L,,,,,,
TR,CC,S,YU,B,E,,,,,,
YU,CW,S,TR,A,E,,,,,,
TA,CC,B,TR,B,L,YU,,,,,
TA,CC,B,YU,B,L,TR,,,,,
YU,CW,B,TA,A,E,,,,,,
YU,CW,B,TA,A,E,,,,,,
TR,CC,D,TA,A,L,,,,,,
YU,CW,B,AL,B,E,YU,,,AL,,
TA,CC,D,TR,B,L,,,,,,
AL,CW,B,TA,X,L,,,,,,
YU,CW,B,TR,B,E,,,,,,
TA,CW,B,AL,B,E,,,,,,
TR,CW,B,TA,H,H,,,,,,
YU,CW,B,TR,B,E,,,,,,
YU,CW,B,TR,A,L,,,,,,
AL,CW,S,TR,X,E,,,,,,
TA,CC,B,TR,A,L,,,,,,
YU,CW,B,AL,A,E,,,,,,
AL,CW,B,YU,A,E,,,,,,
TA,CW,B,YU,A,E,,,,,,
TA,CW,B,TR,A,E,,,,,,
TA,CW,B,YU,A,E,,,,,,
TA,CC,D,YU,B>A,H,,,,,,
AL,CC,S,YU,X,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
YU,CW,B,TR,N,L,,,,,,
TA,CC,D,YU,B,E,TR,,,,,
TA,CW,S,TR,B,L,,,,,,
TR,CC,B,TA,B,H,,,,,,
TA,CC,S,YU,A,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TA,A,E,,,,,,
AL,CW,S,YU,X,YES,,,,,,
TA,CW,S,TR,A,E,,,,,,
TR,CW,S,TA,B,E,,,,,,
TR,CW,S,YU,X,L,,,,,,
TA,CC,S,YU,B,L,,,,,,
YU,CW,B,TA,A,H,,,,,,
AL,CW,S,YU,X,L,,,,,,
TR,CC,S,YU,B,E,,,,,,
TR,CW,D,YU,X,H,,,,,,
AL,CW,S,TR,X,E,,,,,,
YU,CW,S,TA,E,E,,,,,,
AL,CC,S,YU,B,L,,,,,,
YU,CW,D,AL,X,E,,,,,,
TR,CW,S,YU,X,L,,,,,,
YU,CW,S,TR,B,L,,,,,,
YU,CW,S,TA,CW,E,,,,,,
AL,CW,S,YU,N,E,,,,,,
YU,CW,B,TR,X,L,,,,,,
YU,CW,B,TA,N,E,,,,,,
TR,CC,S,YU,X,L,,,,,,
TR,CC,B,TA,X,E,,,,,,
TR,CW,S,TA,A,E,,,,,,
AL,CW,S,TR,B,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
AL,CW,B,YU,X,E,,,,,,
TR,CC,S,YU,B,E,,,,,,
YU,CW,S,TR,A,E,,,,,,
TR,CC,S,AL,X,E,,,,,,
AL,CC,B,YU,B,H,,,,,,
TA,CW,S,TR,X,E,,,,,,
AL,CW,,YU,X,E,,,,,,
TA,CC,S,TR,B,L,,,,,,
YU,CW,S,TR,A,L,,,,,,
TR,CC,S,YU,A,L,,,,,,
AL,CW,S,TR,B,L,,,,,,
TR,CW,B,AL,A,H,,,,,,
YU,CW,S,TA,B,L,,,,,,
TR,CC,D,TA,B,L,,,,,,
AL,CC,S,YU,N,L,,,,,,
TA,CW,B,TR,B,H,,,,,,
TA,CW,S,YU,X,E,,,,,,
TR,CW,VD,YU,X,H,,,,,,
TA,CC,D,AL,N,H,,,,,,
TA,CC,B,YU,A,H,,,,,,
AL,CC,B,TA,N,E,,,,,,
AL,CC,S,YU,B,L,,,,,,
YU,CW,B,TR,A,L,,,,,,
TA,CC,B,YU,B,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
TR,CW,B,TA,N,,,,,,,
AL,CW,B,TA,B,E,,,,,,
YU,CW,D,TR,A,L,,,,,,
AL,CC,S,YU,B,E,,,,,,
TR,CC,D,YU,B,H,,,,,,
TA,CC,S,YU,B,E,,,,,,
AL,CC,S,TR,N,L,,,,,,
AL,CW,B,TR,A,L,,,,,,
TA,CC,B,AL,H,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
TA,CC,B,YU,N,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
TA,CC,S,TR,,L,,,,,,
TA,CC,B,,A,B,,,,,,
TR,CW,B,YU,A>N>B,,,,,,,
TR,CW,B,TA,N,,,,,,,
TA,CC,B,AL,B,,,,,,,
TR,CW,B,AL,A>N>B,,,,,,,
TA,CC,B,TR,A,,,,,,,
TA,CC,B,AL,B,,,,,,,
TA,CC,B,TR,B,L,,,,,,
TR,CW,B,YU,X,H,,,,,,
YU,CW,S,TR,X,L,,,,,,
AL,CW,B,TR,A,H,,,,,,
TR,CW,B,YU,X,H,AL,B,L,,,
TA,CW,S,YU,X,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
YU,CW,S,TA,X,E,,,,,,
YU,CW,S,TR,A,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
YU,CW,S,AL,X,E,TR,N,E,,,
TR,CC,B,YU,N,E,,,,,,
TR,CC,B,TA,CC,E,,,,,,
TR,CC,S,YU,A,E,,,,,,
YU,CW,S,AL,A>B,E,,,,,,
AL,CW,B,TR,A,H,,,,,,
TR,CW,S,AL,B,L,,,,,,
YU,CW,S,AL,X,E,,,,,,
AL,CC,S,YU,,H,,,,,,
AL,CC,S,TR,A>N>B,E,,,,,,
TA,CC,S,TR,B,L,,,,,,
TR,CC,B,TA,B,,,,,,,
YU,CW,D,TA,B,,,,,,,
YU,CW,B,AL,N,,,,,,,
AL,CW,B,YU,A>N>B,,,,,,,
TR,CW,D,YU,A>N>B,,,,,,,
AL,CW,B,YU,A>N>B,,,,,,,
TR,CW,B,AL,B,L,,,,,,
AL,CC,D,YU,B,,,,,,,
YU,CW,S,TR,,L,,,,,,
AL,CC,S,YU,B>A,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
TA,CW,S,AL,B,L>H,,,,,,
AL,CC,S,YU,B>A,E,,,,,,
TA,CW,B,TR,A,H,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
AL,CC,S,TA,A,E,,,,,,
TA,CC,,TR,A,H,,,,,,
TR,CW,S,AL,B,E,,,,,,
TA,CC,B,AL,B>A,H,,,,,,
TA,CC,D,YU,B>A,H,,,,,,
TA,CW,S,AL,A,L,,,,,,
YU,CW,S,TA,B,L,,,,,,
TA,CC,S,AL,A,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
TR,CC,B,YU,B>A,H,,,,,,
TA,CC,B,AL,A>B,H,,,,,,
TA,CC,D,AL,B>A,H,,,,,,
TA,CC,D,TR,B,H,,,,,,
YU,CW,B,AL,B,H,,,,,,
TR,CC,B,YU,B,E,,,,,,
YU,CW,B,AL,A,H,TR,N>B,H,,,
AL,CC,S,YU,B,L,TR,,L,,,
TR,CC,D,YU,B>N>A,E,,,,,,
TA,CW,B,AL,A,E,,,,,,
AL,CW,B,TA,B,L,,,,,,
TA,CC,S,AL,B,E,,,,,,
AL,CC,S,TR,B,L,,,,,,
TA,CC,B,AL,N,H,YU,B,H,,,
AL,CC,S,YU,B>N,E,,,,,,
